Name,Price,CPU,RAM,GPU,Storage,Screen Size,Screen Resolution,Panel,Screen frequency,Weight,URL
Not Found,16.390.000đ,AMD Ryzen 7-5700U 1.8GHz up to 4.3GHz 8MB,8GB,AMD Radeon™ Graphics,512GB SSD M.2 PCIE G3X4,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-d515ua-ryzen-7-ram-8gb.html
Not Found,11.190.000đ,"Intel® Core™ i3-1115G4, tối đa 4.1 GHz, 6MB bộ nhớ đệm",4GB,Intel® UHD Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-i3-ram-4gb.html
Not Found,32.590.000đ,"Intel Core i7-1165G7 (up to 4.7Ghz, 12MB)",16GB,Intel Iris Xe Graphics,512GB SSD M.2 2242 PCIe 3.0x2 NVMe,13.3 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-flip-ux363ea-hp163t.html
Not Found,45.990.000đ,"Intel Core i9-14900HX (2.2 GHz, 36MB Cache, up to 5.8 GHz, 24 lõi / 32 luồng)",32GB,NVIDIA GeForce RTX 4060 8GB GDDR6  Intel UHD Graphics,512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 2TB),16 inches,2560 x 1600 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614jvr-n4141w.html
Not Found,22.990.000đ,"Intel® Core™ i5-1035G1 1.00GHz upto 3.60GHz, 6 MB cache, 4 cores 8 threads",8GB,Intel® UHD Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-14-ux425j.html
Not Found,13.490.000đ,"Intel Core i5-1335U (12MB Cache, 1.3 GHz up to 4.6 GHz, 10 lõi / 12 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504va-nj070w.html
Not Found,16.990.000đ,"Intel Core i5-13500H (18MB Cache, upto 4.7GHz, 12 lõi / 16 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVM PCIe 3.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405va-km095w.html
Not Found,22.690.000đ,"Intel Core 7 240H 2.5 GHz (24MB Cache, up to 5.2 GHz, 10 lõi, 16 luồng)",16GB,NVIDIA GeForce RTX 3050 6GB GDDR6Intel Graphics,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-v16-k3607vj-rp106w.html
Not Found,17.290.000đ,"Intel Core i7-12700H 2.3 GHz (24M Cache, up to 4.7 GHz, 6P+8E cores)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 3.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405za-km263w.html
Not Found,17.490.000đ,"Intel Core i5-12500H Processor 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E lõi)",16GB,NVIDIA Geforce RTX 3050 4GB GDDR6,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-gaming-vivobook-k3605zc-rp564w.html
Not Found,27.990.000đ,"Intel Core i7-1260P 2.1 GHz (18M Cache, up to 4.7 GHz, 12 lõi)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,3840 x 2400 pixel (4K),,,,https://cellphones.com.vn/laptop-asus-expertbook-b5-b5602cba-l20197w.html
Not Found,16.990.000đ,AMD Ryzen 7 7435HS 3.1 - 4.5 GHz,16GB,"NVIDIA Geforce RTX 2050, 104 TOPS",512GB SSD M2 PCIe (Nâng cấp tối đa 1TB),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506nfr-hn006w.html
Not Found,18.990.000đ,"Intel Core i7-13700H 2.4 GHz (24MB Cache, up to 5.0 GHz, 14 lõi, 20 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 4.0 SSD,15.6 inches,2880 x 1620 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-ma492w.html
Not Found,17.590.000đ,"AMD Ryzen 7 7435HS 3.1GHz (20MB Cache, up to 4.5 GHz, 8 lõi, 16 luồng)",16GB,NVIDIA GeForce RTX 2050 4GB GDDR6,512GB PCIe 4.0 NVMe M.2 SSD (Nâng cấp tối đa 1TB),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506nfr-hn075w.html
Not Found,13.190.000đ,"Intel Core i5-1235U (1.3 GHz, 12M Cache, up to 4.4 GHz, 10 lõi)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-x1504za-nj517w.html
Not Found,29.490.000đ,"Intel Core i5-13450HX Gen 13 (2.4 GHz, 20M Cache, up to 4.6 GHz, 10 lõi: 6 P / 4 E)",16GB,NVIDIA GeForce RTX 4050 6GB GDDR6,512GB PCIe 4.0 NVMe M.2 SSD Hỗ trợ SSD M.2 SSD PCIe 512GB/1TB/2TB G4x4 Khe cắm mở rộng (bao gồm cả đã sử dụng): 2x DDR5 SO-DIMM  2x PCIe,16 inches,1920 x 1200 pixels (FullHD+),,,,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614ju-n3135w.html
Not Found,18.990.000đ,"Intel Core i5-12500H 2.5 GHz (18M Cache, up to 4.5 GHz, 12 lõi: 4 P-cores và 8 E-cores)",16GB,NVIDIA GeForce RTX 3050 4GB GDDR6  Intel Iris Xe Graphics,512GB PCIe 3.0 NVMe M.2 SSD (hỗ trợ nâng cấp tối đa 1TB),15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx507zc4-hn095w.html
Not Found,20.990.000đ,"Intel Core i5-12500H Processor 2.5 GHz (18M Cache, up to 4.5 GHz, 4P+8E lõi)",16GB,NVIDIA GeForce RTX 4050 6GB GDDR6,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-gaming-vivobook-k3605zu-rp296w.html
Not Found,23.990.000đ,"Intel Core Ultra 5 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads)",16GB,Intel Arc Graphics,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-vivoboook-s-14-oled-s5406ma-pp046ws.html
Not Found,16.990.000đ,"Intel Core i5-13500H 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 lõi / 16 luồng)",16GB,Intel Iris Xe Graphics,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-oled-a1505va-l1114w.html
