Name,Price,CPU,RAM,GPU,Storage,Screen Size,Screen Resolution,Panel,Screen frequency,Weight,URL
Laptop Asus Zenbook 14 UX3402ZA-KM221W,25.450.000đ,"Intel® Core™ i7-1260P 2.1 GHz (18M Cache, up to 4.7 GHz, 4P+8E cores)  Intel Evo™ Platform",16GB,Intel® Iris Xe Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-14-ux3402za-km221w.html
Laptop ASUS ROG Strix G16 G614JV-N4156W,34.990.000đ,"Intel Core i7-13650HX 2.6 GHz 24M Cache, up to 4.9 GHz, 14 lõi (6 P-cores and 8 E-cores)",16GB,NVIDIA GeForce RTX 4060 8GB GDDR6,512GB PCIe 4.0 NVMe M.2 SSD (1 thanh trống hỗ trợ nâng cấp lên đến 2TB),16 inches,2560x1600 pixel (QHD+),,,,https://cellphones.com.vn/laptop-asus-rog-strix-g16-g614jv-n4156w.html
Laptop Asus Gaming ROG Strix SCAR 18 G834JY-N6039W,113.000.000đ,"Intel Core i9-13980HX 2.2 GHz (36M Cache, up to 5.6 GHz, 24 cores: 8 P-cores and 16 E-cores)",64GB,NVIDIA GeForce RTX 4090 16GB GDDR6,2TB PCIe 4.0 NVMe M.2 SSD1 khe trống,,2560 x 1600 pixels (2K),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-scar-18-g834jy-n6039w.html
Laptop ASUS ROG Zephyrus G16 GA605WV-QR146WS,55.990.000đ,"AMD Ryzen AI 9 HX 370 2.0GHz (36MB Cache, up to 5.1GHz, 12 lõi, 24 luồng)",32GB,NVIDIA GeForce RTX 4060 8GB GDDR6 (233 AI TOPs)AMD Radeon Graphics,"1TB PCIe 4.0 NVMe M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, nâng cấp tối đa 2TB)",16 inches,2560 x 1600 pixels (2.5K),,,,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g16-ga605wv-qr146ws.html
Laptop ASUS VivoBook S 14 FLIP TP3402VA-LZ118W,21.990.000đ,"Intel Core I9-13900H 2.6 GHz (24MB Cache, up to 5.4 GHz, 14 lõi / 20 luồng)",16GB,Intel UHD Graphics,512GB M.2 NVMe PCIe 3.0 SSD,14 inches,1920 x 1200 pixels (WUXGA),,,,https://cellphones.com.vn/laptop-asus-vivobook-s-14-flip-tp3402va-lz118w.html
Laptop ASUS Zenbook Pro 14 Duo OLED UX8402ZE-M3044W,52.990.000đ,Intel® Core™ i7-12700H,16GB,NVIDIA® GeForce® RTX™ 3050 Ti Laptop GPUIntel® Iris Xe Graphics,1TB SSD,14.5 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-zenbook-pro-14-duo-oled-ux8402ze-m3044w.html
Laptop ASUS Gaming ROG Zephyrus G14 GA401I,26.990.000đ,AMD Ryzen 5 4600H 3.0GHz up to 4.0GHz 8MB,,"NVIDIA GeForce GTX 1650 4GB GDDR6 (Boost Clock: 1615MHz, 50W)",512GB SSD PCIE G3X4,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14.html
Laptop ASUS VivoBook M513UA-L1240T,19.690.000đ,AMD Ryzen 7-5700U 1.8GHz up to 4.3GHz 8MB,8GB,AMD Radeon Graphics,"512GB SSD M.2 PCIE G3X2 (Còn trống 1 khe 2.5"" SATA)",15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-m513ua-l1240t.html
Laptop ASUS VivoBook X415EA-EK2043W,9.290.000đ,"Intel Core i3 - 1115G4 (2 lõi / 4 luồng, 3.00 GHz, Turbo Boost 4.1 GHz, 6 MB)",8GB,Intel UHD Graphics,256 GB SSD NVMe PCIeHỗ trợ khe cắm HDD SATA 2.5 inch mở rộng,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x415ea-ek2043w.html
Laptop ASUS VivoBook X515MA-BR112T,7.990.000đ,"Intel Celeron N4020 , tốc độ 1.1 GHz tối đa lên đến 2.8 GHz, bộ nhớ đệm 4MB",4GB,Intel® UHD Graphics 600,256GB M.2 NVMe PCIe® 3.0 SSD,15.6 inches,1366 x 768 pixels (HD+),,,,https://cellphones.com.vn/laptop-asus-vivobook-15-x515ma-celeron-n4020.html
Laptop Asus Vivobook X515EA EJ1046W,14.690.000đ,"Intel® Core i5-1135G7 (upto 4.20 GHz, 8MB)",8GB,Intel Iris Xe Graphics,512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-ej1046w.html
Laptop ASUS VivoBook 14X A1403ZA-KM161W,15.990.000đ,Intel Core i5-12500H,8GB,Intel Iris Xe Graphics,256GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,2880 x 1800 pixels,,,,https://cellphones.com.vn/laptop-asus-vivobook-14x-a1403za-km161w.html
Laptop Asus Vivobook Flip 14 TP470EA EC346W,11.490.000đ,Intel Core i3-1115G4,4GB,Intel UHD Graphics,512GB SSD M.2 NVMe™ PCIe® 3.0,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tp470ea-ec346w.html
Laptop ASUS VivoBook Go 14 E1404FA-NK113W,8.490.000đ,"AMD Ryzen 3 7320U (4MB cache, up to 4.1 GHz, 4 lõi/8 luồng)",8GB,AMD Radeon Graphics,256GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk113w.html
Laptop ASUS Zenbook UX425EA,29.090.000đ,Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,16GB,Intel Iris Xe Graphics,512GB SSD M.2 PCIE G3X2,14 inches,1920 x 1080 pixels (FullHD),,,,https://cellphones.com.vn/laptop-asus-zenbook-14-ux425ea-ki439t.html
Laptop Asus VivoBook M7600QC-L2077W,27.990.000đ,Ryzen™ 5 5600H,16GB,NVIDIA GeForce RTX 3050,512GB SSD,16 inches,,,,,https://cellphones.com.vn/laptop-asus-vivobook-pro-m7600qc-l2077w.html
